lag,size,combo,n_nn,n_true,events,base,rate,lift,ci_low,ci_high,catch,nn_share,rate_200,events_200,lift_200,ci_low_200,ci_high_200,catch_200,rate_500,events_500,sufficient,sufficient_200,window,confirm
0,2,h9_rs6_top_decile AND h9_rs12_top_decile,389343,20657,289,0.0064621683194509725,0.01399041487147214,2.1649722167343315,1.930732740315697,2.4271786201068077,0.11102573953131002,0.9896143903982675,0.03364476932758871,695,1.8148178753548587,1.6867902056793078,1.9521998284631303,0.09381749460043197,0.003437091542818415,71,True,True,build,
3,2,h9_rs6_top_decile AND h9_rs12_top_decile,358858,18067,259,0.0060135206683423524,0.014335528864781092,2.3838828625382824,2.1123351879694887,2.6897669825691217,0.09950057625816365,0.9121289991332616,0.0370841866386229,670,2.089161232144888,1.9393920915524225,2.2500178572336433,0.0904427645788337,0.0037084186638622904,67,True,True,build,
6,2,h9_rs6_top_decile AND h9_rs12_top_decile,342121,16785,279,0.0058283472806404755,0.016621983914209115,2.8519206412804095,2.5385415327849348,3.2032528214214517,0.10718401844026124,0.8695876511390873,0.0397974381888591,668,2.2635975645238013,2.1012937772816533,2.4378797456436407,0.09017278617710583,0.004647006255585344,78,True,True,build,
12,2,h9_rs6_top_decile AND h9_rs12_top_decile,314533,15073,247,0.005706873364639004,0.016386917003914283,2.8714351899677837,2.5372671026964753,3.2487865568199448,0.0948905109489051,0.7994657231673313,0.04464937305115106,673,2.5534002279813994,2.371386236331992,2.7486840473089424,0.09084773218142549,0.004179658992901214,63,True,True,build,
3,2,h5_peg_lt_05 AND ctl_pe_lt_15,171353,37788,249,0.003087194271474675,0.006589393458240712,2.1344278586955023,1.8859507717447856,2.41539666189338,0.09565885516711486,0.43553728881195847,0.020138668360326028,761,1.781528776224546,1.66048162875092,1.9112058279448954,0.1027267818574514,0.0014025616597861754,53,True,True,build,
0,2,h9_rs6_top_decile AND h9_rs12_top_decile,133598,7057,177,0.01241785056662525,0.025081479382173727,2.0197923342372786,1.7461429690812544,2.335055980963206,0.10424028268551237,0.9842995969910631,0.0486042227575457,343,1.7540321318105323,1.5816685347197494,1.9441209131663575,0.09129624700558957,0.008077086580700015,57,True,True,holdout,True
3,2,h9_rs6_top_decile AND h9_rs12_top_decile,125313,6276,137,0.011634866294797826,0.02182919056724028,1.8761874880333207,1.5896855114309567,2.212969916104344,0.08068315665488811,0.9232588466724134,0.04780114722753346,300,1.790228679774029,1.6026988265853535,1.9984779318569192,0.07985094490284801,0.0057361376673040155,36,True,True,holdout,True
6,2,h9_rs6_top_decile AND h9_rs12_top_decile,121619,5981,109,0.01161825043784277,0.01822437719444909,1.568599101211397,1.3023189396358281,1.8881118558628112,0.06419316843345112,0.8960428500909902,0.04363818759404782,261,1.6425975663882704,1.4584930558771294,1.848754042212357,0.06947032206547778,0.0058518642367497075,35,True,True,holdout,True
12,2,h9_rs6_top_decile AND h9_rs12_top_decile,116146,5571,81,0.011468324350386583,0.014539579967689823,1.2678033445400165,1.0214384047192482,1.572505745346666,0.04770318021201413,0.8557198535316697,0.029976664871656795,167,1.1389171469360322,0.9807095333948185,1.3217353434882742,0.044450359329252065,0.006103033566684617,34,False,True,holdout,False
3,2,h5_peg_lt_05 AND ctl_pe_lt_15,46180,14924,79,0.005500216543958424,0.005293487000804074,0.9624142901461895,0.7726625721537086,1.1984570558744816,0.04652532391048292,0.34023679537902735,0.01856070758509783,277,1.0660864132833556,0.9486402465274022,1.1977646667962627,0.073729039126963,0.0014741356204770839,22,False,True,holdout,False
